Date,Tweets,Impressions,Engagements,Retweets,Replies,Likes,Profile,URL,Hashtag,Details,Follows,Media
2020-07-15,2,2347,25,3,0,3,4,2,0,6,0,7
2020-07-16,6,7185,95,7,0,30,8,16,2,22,0,10
2020-07-17,6,7648,142,12,2,35,15,2,1,58,0,17
2020-07-18,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,7,9538,147,16,0,27,11,24,3,44,0,22
2020-07-21,1,4222,63,4,0,8,9,12,0,11,0,19
2020-07-22,1,2903,137,7,0,21,16,7,1,59,0,26
2020-07-23,8,43608,520,39,6,93,35,97,6,173,0,71
2020-07-24,8,6158,202,5,4,60,11,1,1,80,0,40
2020-07-25,1,2261,55,2,0,11,8,4,0,20,0,10
2020-07-26,1,5657,139,5,0,16,7,26,0,50,0,35
2020-07-27,3,7420,73,3,1,20,5,14,1,19,0,10
2020-07-28,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-29,1,910,10,0,0,3,1,0,0,6,0,0
2020-07-30,5,3513,59,4,0,13,5,12,0,22,0,3
2020-07-31,6,4591,130,4,2,24,4,19,1,63,0,13
2020-08-01,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,2,1559,23,0,0,6,5,2,0,5,0,5
2020-08-04,6,5579,126,9,0,11,10,10,3,45,0,38
2020-08-05,2,2070,49,5,0,13,3,4,0,14,0,10
2020-08-06,5,5526,172,21,2,20,22,3,0,43,0,61
2020-08-07,5,4607,58,6,0,14,17,7,0,12,0,2
2020-08-08,1,1878,52,9,0,8,5,9,1,10,0,10
2020-08-09,1,1921,32,5,0,3,1,1,0,16,0,6
2020-08-10,4,4511,67,11,0,22,3,12,0,13,0,6
2020-08-11,8,7340,94,13,0,18,7,14,1,23,0,18
2020-08-12,5,6012,85,10,0,11,9,13,0,18,0,24
2020-08-13,5,9733,120,14,0,29,14,22,2,27,0,12
2020-08-14,5,6858,78,7,2,17,6,10,1,22,0,13
2020-08-15,1,603,11,0,0,3,1,2,1,3,0,1
2020-08-16,1,1359,18,4,0,5,0,4,1,1,0,3
2020-08-17,5,8853,118,16,0,30,11,7,1,35,0,18
2020-08-18,6,8961,96,11,1,26,12,8,1,19,0,18
2020-08-19,3,2515,28,3,0,8,2,6,0,6,0,3
2020-08-20,3,7886,76,9,0,17,2,7,3,20,0,18
2020-08-21,4,5373,74,12,0,18,10,9,0,17,0,8
2020-08-22,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,4,4897,49,8,0,16,3,4,0,6,0,12
2020-08-25,5,6133,94,14,0,24,7,17,1,24,0,7
2020-08-26,3,2184,20,2,0,6,1,5,1,1,0,4
2020-08-27,2,2657,49,4,0,17,0,10,0,8,0,10
2020-08-28,4,3750,77,8,0,19,12,8,2,21,0,7
2020-08-29,1,770,37,3,0,8,1,5,0,11,0,9
2020-08-30,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,4,5732,98,11,0,24,10,8,3,26,0,16
2020-09-01,7,6989,96,4,0,25,19,6,2,26,0,14
2020-09-02,9,13026,114,13,0,36,9,6,2,19,0,29
2020-09-03,10,10240,135,7,1,43,14,4,4,17,0,45
2020-09-04,9,9488,226,16,4,51,17,3,4,88,0,43
2020-09-05,5,2311,15,3,0,1,5,0,0,2,0,4
2020-09-06,4,2066,21,1,0,4,1,2,0,8,0,5
2020-09-07,3,2443,23,4,0,6,0,2,0,8,0,3
2020-09-08,10,9401,165,20,0,29,15,8,3,66,0,24
2020-09-09,9,12508,123,8,1,34,16,6,1,41,0,16
2020-09-10,12,7764,69,3,0,31,7,2,1,17,0,8
